"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"4.0","https://www.google-analytics.com/plugins/ua/linkid.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"4.0","https://www.google.com/recaptcha/api.js","js","javascript","google.com","Google","US","Google > Alphabet "
"2.0","http://01mspmd5yalky8.com/3d/59/d9/3d59d9347e42ecd52679bef696c762b1.js","js","javascript","01mspmd5yalky8.com","Unknown","",""
"2.0","http://aeis.alicdn.com/AWSC/WebUMID/1.76.2/um.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://aeu.alicdn.com/AWSC/uab/121.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://aeu.alicdn.com/ctl/ctl.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ajax.googleapis.com/ajax/libs/angularjs/1.5.7/angular-sanitize.min.js","js","javascript","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"2.0","http://ajax.googleapis.com/ajax/libs/angularjs/1.5.7/angular.min.js","js","javascript","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"2.0","http://assets.alicdn.com/g/ae-fe/home-ui/0.0.7/page/home.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://assets.alicdn.com/g/alilog/aplus_plugin_xwj/index.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://assets.alicdn.com/g/alilog/oneplus/entry.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://assets.alicdn.com/g/secdev/entry/index.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://assets.alicdn.com/g/secdev/nsv/1.0.70/ns_d_81_3_f.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://assets.alicdn.com/g/secdev/sufei_data/3.8.1/index.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://cdn.amgdgt.com/base/js/v1/amgdgt.js","js","javascript","amgdgt.com","Adconion Media Group","US","Adconion Media Group > Amobee > Singtel "
"2.0","http://cdn.appdynamics.com/adrum-ext.84f248a459170522583669996382bd82.js","js","javascript","appdynamics.com","Unknown","",""
"2.0","http://fingahvf.top/advertisers.js","js","javascript","fingahvf.top","Unknown","",""
"2.0","http://i.alicdn.com/ae-header/20191217202516/buyer/glofront/ae-header.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ie8eamus.com/sfp.js","js","javascript","ie8eamus.com","Unknown","",""
"2.0","http://ladsoks.com/12/67/0b/12670bd1e075ffbb262282cd1f282b2f.js","js","javascript","ladsoks.com","Unknown","",""
"2.0","http://media.richrelevance.com/rrserver/js/1.2/p13n.js","js","javascript","richrelevance.com","Unknown","",""
"2.0","http://recs.richrelevance.com/rrserver/p13n_generated.js","js","javascript","richrelevance.com","Unknown","",""
"2.0","http://t.womtp.com/rp/movistar/js/v1/rpc.js","js","javascript","womtp.com","Unknown","",""
"2.0","http://www.google-analytics.com/analytics.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"2.0","http://www.google-analytics.com/plugins/ua/ec.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"2.0","http://www.google-analytics.com/plugins/ua/linkid.js","js","javascript","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"2.0","http://www.googletagmanager.com/gtm.js","js","javascript","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"2.0","http://www.movistar.es/atcliente/c2c/venta-asistida-externo/dwr/engine.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/atcliente/c2c/venta-asistida-externo/dwr/interface/AJAX.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/atcliente/c2c/venta-asistida-externo/polaris.venta.asistida.externo/57D3384D38ACDE4A799534EE3C335DF0.cache.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/atcliente/c2c/venta-asistida-externo/polaris.venta.asistida.externo/c2c.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/atcliente/c2c/venta-asistida-externo/polaris.venta.asistida.externo/gwt-dwr-venta-asistida-externo.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/atcliente/c2c/venta-asistida-externo/polaris.venta.asistida.externo/polaris.venta.asistida.externo.nocache.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/Componentes/plantilla/componentsApp.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/Componentes/plantilla/dpi.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/DSS/js/enrutadorTELCO/enrutador.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/FusionProcess/configTV/js/configTvManager.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/GridResp/js/base64.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/GridResp/js/bootstrap.min.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/GridResp/js/commons.js","js","javascript","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/GridResp/js/googlejsapi.js","js","javascript","movistar.es","Unknown","",""
