"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"2.0","http://www.movistar.es/estaticos/imagenes/notificaciones-push-466x220.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/btnsearch.gif","gif","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/fndopcionesup.gif","gif","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/apps-y-servicios-31x25.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/apps.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/asistente-virtual-31x25.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/fusion-31x25.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/gestiones-frecuentes-31x25.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/internet-fijo-31x25.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/movil-31x25.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/nuevo-despl-tv/ico-contratar-33x27.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/nuevo-despl-tv/ico-multidispositivo-33x27.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/nuevo-despl-tv/ico-programacion-33x27.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/nuevo-despl-tv/ico-que-ver-33x27.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/nuevo-despl-tv/logo-movistarplus-33x27.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/te-puede-interesar-31x25.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/img/grid/television-31x25.png","png","image","movistar.es","Unknown","",""
